Gene.secondaryIdentifier	Gene.length	Gene.qualifier	Gene.chromosome.primaryIdentifier	Gene.chromosomeLocation.start	Gene.chromosomeLocation.end	Gene.chromosomeLocation.strand
YAR027W	708	Verified	chrI	183770	184477	1
YAR028W	705	Uncharacterized	chrI	184892	185596	1
YAR029W	225	Uncharacterized	chrI	186321	186545	1
YAR031W	897	Verified	chrI	186836	187732	1
YAR033W	705	Verified	chrI	188107	188811	1
YAR035W	2064	Verified	chrI	190193	192256	1
YAR042W	3567	Verified	chrI	192619	196185	1
YAR047C	321	Dubious	chrI	201467	201787	-1
YAR050W	4614	Verified	chrI	203403	208016	1
YAR053W	297	Dubious	chrI	208367	208663	1
YAR060C	336	Dubious	chrI	217157	217492	-1
YAR061W	1006	""	chrI	218140	219145	1
YAR064W	300	Uncharacterized	chrI	220198	220497	1
YAR068W	486	Uncharacterized	chrI	222406	222891	1
YAR069C	294	Dubious	chrI	224011	224304	-1
YAR070C	300	Dubious	chrI	224563	224862	-1
YAR071W	1404	Verified	chrI	225460	226863	1
YAR073W	1212	Dubious	chrI	227742	228953	1
YBL001C	315	Verified	chrII	237153	237467	-1
YBL002W	396	Verified	chrII	236492	236887	1
YBL003C	399	Verified	chrII	235394	235792	-1
YBL004W	7482	Verified	chrII	227636	235117	1
YBL005W	2931	Verified	chrII	217470	220400	1
YBL006C	543	Verified	chrII	216587	217129	-1
YBL007C	3735	Verified	chrII	212632	216366	-1
YBL008W	2523	Verified	chrII	209653	212175	1
YBL009W	2031	Verified	chrII	207194	209224	1
YBL010C	843	Verified	chrII	206107	206949	-1
YBL011W	2280	Verified	chrII	203538	205817	1
YBL012C	402	Dubious	chrII	203406	203807	-1
YBL013W	1206	Verified	chrII	202056	203261	1
YBL014C	2685	Verified	chrII	199064	201748	-1
YBL015W	1581	Verified	chrII	194122	195702	1
YBL016W	1062	Verified	chrII	192451	193512	1
YBL017C	4740	Verified	chrII	186844	191583	-1
YBL018C	477	Verified	chrII	185998	186474	-1
YBL019W	1563	Verified	chrII	184353	185915	1
YBL020W	1725	Verified	chrII	182401	184125	1
YBL021C	435	Verified	chrII	181660	182094	-1
YBL022C	3402	Verified	chrII	177874	181275	-1
YBL023C	2607	Verified	chrII	174920	177526	-1
YBL024W	2055	Verified	chrII	172534	174588	1
YBL025W	438	Verified	chrII	171481	171918	1
YBL026W	416	Verified	chrII	170623	171038	1
YBL027W	954	Verified	chrII	168423	169376	1
YBL028C	321	Verified	chrII	167518	167838	-1
YBL029W	1131	Uncharacterized	chrII	166134	167264	1
YBL030C	957	Verified	chrII	163041	163997	-1
YBL031W	1017	Verified	chrII	161699	162715	1
YBL032W	1146	Verified	chrII	160184	161329	1
YBL033C	1038	Verified	chrII	158656	159693	-1
YBL034C	4542	Verified	chrII	153848	158389	-1
YBL035C	2118	Verified	chrII	151493	153610	-1
YBL036C	774	Verified	chrII	150447	151220	-1
YBL037W	3078	Verified	chrII	147209	150286	1
YBL038W	699	Verified	chrII	146187	146885	1
YBL039C	1740	Verified	chrII	143989	145728	-1
YBL040C	757	Verified	chrII	142112	142868	-1
YBL041W	726	Verified	chrII	141247	141972	1
YBL042C	1920	Verified	chrII	138341	140260	-1
YBL043W	774	Verified	chrII	136688	137461	1
YBL044W	369	Uncharacterized	chrII	135998	136366	1
YBL045C	1374	Verified	chrII	134143	135516	-1
YBL046W	1326	Verified	chrII	132424	133749	1
YBL047C	4146	Verified	chrII	127895	132040	-1
YBL048W	312	Uncharacterized	chrII	127299	127610	1
YBL049W	417	Verified	chrII	126828	127244	1
YBL050W	995	Verified	chrII	125125	126119	1
YBL051C	2007	Verified	chrII	122753	124759	-1
YBL052C	2496	Verified	chrII	119379	121874	-1
YBL053W	375	Dubious	chrII	119335	119709	1
YBL054W	1578	Verified	chrII	117589	119166	1
YBL055C	1257	Verified	chrII	115573	116829	-1
YBL056W	1407	Verified	chrII	113762	115168	1
YBL057C	627	Verified	chrII	112801	113427	-1
YBL058W	1272	Verified	chrII	111437	112708	1
YBL059W	651	Uncharacterized	chrII	110594	111244	1
YBL060W	2064	Verified	chrII	107932	109995	1
YBL061C	2091	Verified	chrII	105316	107406	-1
YBL062W	381	Dubious	chrII	105308	105688	1
YBL063W	3336	Verified	chrII	101886	105221	1
YBL064C	786	Verified	chrII	100371	101156	-1
YBL065W	345	Dubious	chrII	99963	100307	1
YBL066C	3447	Verified	chrII	96669	100115	-1
YBL067C	2244	Verified	chrII	93639	95882	-1
YBL068W	981	Verified	chrII	92414	93394	1
YBL069W	1290	Verified	chrII	90741	92030	1
YBL070C	321	Dubious	chrII	90605	90925	-1
YBL071C	309	Uncharacterized	chrII	90223	90531	-1
YBL072C	603	Verified	chrII	88523	89125	-1
YBL073W	312	Dubious	chrII	87646	87957	1
YBL074C	1068	Verified	chrII	86722	87789	-1
YBL075C	1950	Verified	chrII	84499	86448	-1
YBL076C	3219	Verified	chrII	81043	84261	-1
YBL077W	432	Dubious	chrII	80897	81328	1
YBL078C	354	Verified	chrII	80378	80731	-1
YBL079W	4509	Verified	chrII	75259	79767	1
YBL080C	1626	Verified	chrII	73070	74695	-1
YBL081W	1107	Uncharacterized	chrII	71866	72972	1
YBL082C	1377	Verified	chrII	69751	71127	-1
YBL083C	426	Dubious	chrII	69713	70138	-1
YBL084C	2277	Verified	chrII	67169	69445	-1
YBL085W	2943	Verified	chrII	63876	66818	1
YBL086C	1401	Uncharacterized	chrII	61202	62602	-1
YBL087C	918	Verified	chrII	59822	60739	-1
YBL088C	8364	Verified	chrII	51019	59382	-1
YBL089W	1380	Verified	chrII	49574	50953	1
YBL090W	534	Verified	chrII	48825	49358	1
YBL091C	1266	Verified	chrII	47363	48628	-1
YBL092W	393	Verified	chrII	45978	46370	1
YBL093C	663	Verified	chrII	44256	44918	-1
YBL094C	333	Dubious	chrII	43765	44097	-1
YBL095W	813	Uncharacterized	chrII	43277	44089	1
YBL096C	309	Dubious	chrII	43174	43482	-1
YBL097W	2265	Verified	chrII	40831	43095	1
YBL098W	1383	Verified	chrII	39145	40527	1
YBL099W	1638	Verified	chrII	37053	38690	1
YBL100C	315	Dubious	chrII	36989	37303	-1
YBL101C	3354	Verified	chrII	24946	28299	-1
YBL102W	648	Verified	chrII	24098	24745	1
YBL103C	1461	Verified	chrII	22076	23536	-1
YBL104C	3117	Verified	chrII	18177	21293	-1
YBL105C	3456	Verified	chrII	14241	17696	-1
YBL106C	3033	Verified	chrII	10847	13879	-1
YBL107C	591	Verified	chrII	9961	10551	-1
YBL108W	306	Dubious	chrII	8177	8482	1
YBR001C	2343	Verified	chrII	238941	241283	-1
YBR002C	861	Verified	chrII	241708	242568	-1
YBR003W	1422	Verified	chrII	242809	244230	1
YBR004C	1302	Verified	chrII	244366	245667	-1
YBR005W	642	Verified	chrII	245906	246547	1
YBR006W	1494	Verified	chrII	247010	248503	1
YBR007C	2211	Verified	chrII	248806	251016	-1
YBR008C	1647	Verified	chrII	252563	254209	-1
YBR009C	312	Verified	chrII	255373	255684	-1
YBR010W	411	Verified	chrII	256331	256741	1
YBR011C	864	Verified	chrII	257112	257975	-1
YBR012C	420	Dubious	chrII	259147	259566	-1
YBR013C	390	Uncharacterized	chrII	265492	265881	-1
YBR014C	612	Verified	chrII	266725	267336	-1
YBR015C	1794	Verified	chrII	267710	269503	-1
YBR016W	387	Verified	chrII	270247	270633	1
YBR017C	2757	Verified	chrII	270947	273703	-1
YBR018C	1101	Verified	chrII	274427	275527	-1
YBR019C	2100	Verified	chrII	276253	278352	-1
YBR020W	1587	Verified	chrII	279021	280607	1
YBR021W	1902	Verified	chrII	281443	283344	1
YBR022W	534	Verified	chrII	283738	284271	1
YBR023C	3498	Verified	chrII	284428	287925	-1
YBR024W	906	Verified	chrII	289445	290350	1
YBR025C	1185	Verified	chrII	290681	291865	-1
YBR026C	1143	Verified	chrII	292877	294019	-1
YBR027C	333	Uncharacterized	chrII	294024	294356	-1
YBR028C	1578	Verified	chrII	294425	296002	-1
YBR029C	1374	Verified	chrII	296369	297742	-1
YBR030W	1659	Verified	chrII	298292	299950	1
YBR031W	1089	Verified	chrII	300166	301254	1
YBR032W	303	Uncharacterized	chrII	301519	301821	1
YBR033W	2760	Uncharacterized	chrII	301944	304703	1
YBR034C	1047	Verified	chrII	304930	305976	-1
YBR035C	687	Verified	chrII	306269	306955	-1
YBR036C	1233	Verified	chrII	309081	310313	-1
YBR037C	888	Verified	chrII	310565	311452	-1
YBR038W	2892	Verified	chrII	311898	314789	1
YBR039W	936	Verified	chrII	315575	316510	1
YBR040W	897	Verified	chrII	316968	317864	1
YBR041W	2010	Verified	chrII	318266	320275	1
YBR042C	1194	Verified	chrII	320416	321609	-1
YBR043C	2070	Verified	chrII	321876	323945	-1
YBR044C	1719	Verified	chrII	324341	326059	-1
YBR045C	1920	Verified	chrII	328173	330092	-1
YBR046C	1005	Verified	chrII	330507	331511	-1
YBR047W	528	Uncharacterized	chrII	331833	332360	1
YBR048W	982	Verified	chrII	332831	333812	1
YBR049C	2433	Verified	chrII	334386	336818	-1
YBR050C	1017	Verified	chrII	337183	338199	-1
YBR051W	351	Dubious	chrII	337988	338338	1
YBR052C	633	Verified	chrII	338720	339352	-1
YBR053C	1077	Uncharacterized	chrII	339675	340751	-1
YBR054W	1035	Verified	chrII	343101	344135	1
YBR055C	2700	Verified	chrII	344602	347301	-1
YBR056W	1506	Verified	chrII	347879	349384	1
YBR057C	1101	Verified	chrII	352193	353293	-1
YBR058C	2346	Verified	chrII	353672	356017	-1
YBR059C	3327	Verified	chrII	356861	360187	-1
YBR060C	1863	Verified	chrII	360652	362514	-1
YBR061C	933	Verified	chrII	364787	365719	-1
YBR062C	625	Uncharacterized	chrII	365976	366600	-1
YBR063C	1215	Uncharacterized	chrII	366970	368184	-1
YBR064W	429	Dubious	chrII	367763	368191	1
YBR065C	1095	Verified	chrII	368584	369678	-1
YBR066C	663	Verified	chrII	370037	370699	-1
YBR067C	633	Verified	chrII	372103	372735	-1
YBR068C	1830	Verified	chrII	373861	375690	-1
YBR069C	1860	Verified	chrII	376574	378433	-1
YBR070C	714	Verified	chrII	379221	379934	-1
YBR071W	636	Verified	chrII	380411	381046	1
YBR072W	645	Verified	chrII	382030	382674	1
YBR073W	2877	Verified	chrII	383112	385988	1
YBR074W	2931	Verified	chrII	386286	389216	1
YBR076W	1065	Verified	chrII	390227	391291	1
YBR077C	489	Verified	chrII	391805	392293	-1
YBR078W	1620	Verified	chrII	393123	394742	1
YBR079C	2895	Verified	chrII	395383	398277	-1
YBR080C	2277	Verified	chrII	398614	400890	-1
YBR081C	3999	Verified	chrII	401253	405251	-1
YBR082C	542	Verified	chrII	406628	407169	-1
YBR083W	1461	Verified	chrII	409169	410629	1
YBR084W	2928	Verified	chrII	411054	413981	1
YBR085W	924	Verified	chrII	415983	416906	1
YBR086C	2841	Verified	chrII	420201	423041	-1
YBR087W	1065	Verified	chrII	423765	424829	1
YBR088C	777	Verified	chrII	424990	425766	-1
YBR089W	600	Dubious	chrII	425183	425782	1
YBR090C	726	Uncharacterized	chrII	426333	427058	-1
YBR091C	330	Verified	chrII	427155	427484	-1
YBR092C	1404	Verified	chrII	427698	429101	-1
YBR093C	1404	Verified	chrII	429548	430951	-1
YBR094W	2262	Verified	chrII	432036	434297	1
YBR095C	1293	Verified	chrII	434406	435698	-1
YBR096W	693	Uncharacterized	chrII	436021	436713	1
YBR097W	4365	Verified	chrII	436951	441315	1
YBR098W	2076	Verified	chrII	441515	443590	1
YBR099C	384	Dubious	chrII	442924	443307	-1
YBR101C	873	Verified	chrII	443821	444693	-1
YBR102C	2262	Verified	chrII	445062	447323	-1
YBR103W	1608	Verified	chrII	447709	449316	1
YBR104W	990	Verified	chrII	449667	450656	1
YBR105C	1089	Verified	chrII	450881	451969	-1
YBR106W	567	Verified	chrII	452658	453224	1
YBR107C	738	Verified	chrII	453793	454530	-1
YBR108W	2844	Verified	chrII	454822	457665	1
YBR109C	444	Verified	chrII	457919	458362	-1
YBR110W	1350	Verified	chrII	458872	460221	1
YBR111C	696	Verified	chrII	461178	461873	-1
YBR112C	2901	Verified	chrII	462870	465770	-1
YBR113W	483	Dubious	chrII	465566	466048	1
YBR114W	2373	Verified	chrII	467248	469620	1
YBR115C	4179	Verified	chrII	469748	473926	-1
YBR116C	528	Dubious	chrII	474199	474726	-1
YBR117C	2046	Verified	chrII	474392	476437	-1
YBR118W	1377	Verified	chrII	477671	479047	1
YBR119W	986	Verified	chrII	479338	480323	1
YBR120C	489	Verified	chrII	480435	480923	-1
YBR121C	2004	Verified	chrII	481364	483367	-1
YBR122C	534	Verified	chrII	483970	484503	-1
YBR123C	1950	Verified	chrII	484742	486691	-1
YBR124W	360	Dubious	chrII	486507	486866	1
YBR125C	1182	Verified	chrII	487199	488380	-1
YBR126C	1488	Verified	chrII	488905	490392	-1
YBR127C	1554	Verified	chrII	491269	492822	-1
YBR128C	1035	Verified	chrII	493081	494115	-1
YBR129C	987	Verified	chrII	494353	495339	-1
YBR130C	1278	Verified	chrII	495592	496869	-1
YBR131W	2115	Verified	chrII	497163	499277	1
YBR132C	1791	Verified	chrII	499652	501442	-1
YBR133C	2484	Verified	chrII	501804	504287	-1
YBR134W	402	Dubious	chrII	504243	504644	1
YBR135W	453	Verified	chrII	504854	505306	1
YBR136W	7107	Verified	chrII	505668	512774	1
YBR137W	540	Verified	chrII	513044	513583	1
YBR138C	1575	Uncharacterized	chrII	513762	515336	-1
YBR139W	1527	Verified	chrII	515664	517190	1
YBR140C	9279	Verified	chrII	517350	526628	-1
YBR141C	1014	Verified	chrII	527025	528038	-1
YBR142W	2322	Verified	chrII	528317	530638	1
YBR143C	1314	Verified	chrII	530869	532182	-1
YBR144C	315	Uncharacterized	chrII	533235	533549	-1
YBR145W	1056	Verified	chrII	533762	534817	1
YBR146W	837	Verified	chrII	535260	536096	1
YBR147W	891	Verified	chrII	536575	537465	1
YBR148W	1830	Verified	chrII	537876	539705	1
YBR149W	1035	Verified	chrII	539987	541021	1
YBR150C	3285	Verified	chrII	541209	544493	-1
YBR151W	951	Verified	chrII	545028	545978	1
YBR152W	876	Verified	chrII	546376	547251	1
YBR153W	735	Verified	chrII	547460	548194	1
YBR154C	648	Verified	chrII	548362	549009	-1
YBR155W	1158	Verified	chrII	549771	550928	1
YBR156C	2097	Verified	chrII	551104	553200	-1
YBR157C	768	Verified	chrII	553543	554310	-1
YBR158W	1650	Verified	chrII	556549	558198	1
YBR159W	1044	Verified	chrII	558685	559728	1
YBR160W	897	Verified	chrII	560078	560974	1
YBR161W	1131	Verified	chrII	561634	562764	1
YBR162C	1368	Verified	chrII	563203	564570	-1
YBR163W	1758	Verified	chrII	565723	567480	1
YBR164C	552	Verified	chrII	567875	568426	-1
YBR165W	834	Verified	chrII	568852	569685	1
YBR166C	1359	Verified	chrII	569842	571200	-1
YBR167C	423	Verified	chrII	571468	571890	-1
YBR168W	1242	Verified	chrII	572371	573612	1
YBR169C	2082	Verified	chrII	573915	575996	-1
YBR170C	1743	Verified	chrII	576344	578086	-1
YBR171W	621	Verified	chrII	578364	578984	1
YBR172C	2223	Verified	chrII	579150	581372	-1
YBR173C	447	Verified	chrII	581726	582172	-1
YBR174C	315	Dubious	chrII	582338	582652	-1
YBR175W	948	Verified	chrII	582408	583355	1
YBR176W	939	Verified	chrII	583720	584658	1
YBR177C	1356	Verified	chrII	584807	586162	-1
YBR178W	375	Dubious	chrII	586071	586445	1
YBR179C	2568	Verified	chrII	586547	589114	-1
YBR180W	1719	Verified	chrII	589741	591459	1
YBR181C	1063	Verified	chrII	591712	592774	-1
YBR182C	1359	Verified	chrII	593506	594864	-1
YBR183W	951	Verified	chrII	596115	597065	1
YBR184W	1572	Uncharacterized	chrII	597363	598934	1
YBR185C	837	Verified	chrII	599123	599959	-1
YBR186W	1808	Verified	chrII	600553	602360	1
YBR187W	843	Verified	chrII	602634	603476	1
YBR188C	423	Verified	chrII	603685	604107	-1
YBR189W	1001	Verified	chrII	604508	605508	1
YBR190W	312	Dubious	chrII	605966	606277	1
YBR191W	871	Verified	chrII	606270	607140	1
YBR192W	1134	Verified	chrII	607652	608785	1
YBR193C	672	Verified	chrII	609082	609753	-1
YBR194W	372	Verified	chrII	610038	610409	1
YBR195C	1269	Verified	chrII	610614	611882	-1
YBR196C	1665	Verified	chrII	612236	613900	-1
YBR197C	654	Verified	chrII	615203	615856	-1
YBR198C	2397	Verified	chrII	616127	618523	-1
YBR199W	1395	Verified	chrII	618909	620303	1
YBR200W	1656	Verified	chrII	620872	622527	1
YBR201W	636	Verified	chrII	623576	624211	1
YBR202W	2538	Verified	chrII	625772	628309	1
YBR203W	2775	Verified	chrII	629168	631942	1
YBR204C	1128	Verified	chrII	632254	633381	-1
YBR205W	1215	Verified	chrII	633622	634836	1
YBR206W	324	Dubious	chrII	634601	634924	1
YBR207W	1398	Verified	chrII	635146	636543	1
YBR208C	5508	Verified	chrII	636703	642210	-1
YBR209W	318	Uncharacterized	chrII	642583	642900	1
YBR210W	429	Verified	chrII	645550	645978	1
YBR211C	975	Verified	chrII	646158	647132	-1
YBR212W	2019	Verified	chrII	647886	649904	1
YBR213W	825	Verified	chrII	650368	651192	1
YBR214W	1584	Verified	chrII	651415	652998	1
YBR215W	1962	Verified	chrII	653356	655317	1
YBR216C	2025	Verified	chrII	655576	657600	-1
YBR217W	561	Verified	chrII	657832	658392	1
YBR218C	3543	Verified	chrII	658707	662249	-1
YBR219C	805	Uncharacterized	chrII	662499	663303	-1
YBR220C	1683	Uncharacterized	chrII	662995	664677	-1
YBR221C	1101	Verified	chrII	665153	666253	-1
YBR222C	1632	Verified	chrII	666720	668351	-1
YBR223C	1635	Verified	chrII	668663	670297	-1
YBR224W	516	Dubious	chrII	670125	670640	1
YBR225W	2703	Uncharacterized	chrII	670627	673329	1
YBR226C	411	Dubious	chrII	673155	673565	-1
YBR227C	1563	Verified	chrII	673572	675134	-1
YBR228W	915	Verified	chrII	675313	676227	1
YBR229C	2865	Verified	chrII	676357	679221	-1
YBR230C	502	Verified	chrII	679549	680050	-1
YBR231C	912	Verified	chrII	682179	683090	-1
YBR232C	360	Dubious	chrII	683373	683732	-1
YBR233W	1242	Verified	chrII	683428	684669	1
YBR234C	1155	Verified	chrII	685438	686592	-1
YBR235W	3363	Verified	chrII	686901	690263	1
YBR236C	1311	Verified	chrII	690383	691693	-1
YBR237W	2550	Verified	chrII	691969	694518	1
YBR238C	2196	Verified	chrII	695107	697302	-1
YBR239C	1590	Verified	chrII	698354	699943	-1
YBR240C	1353	Verified	chrII	700490	701842	-1
YBR241C	1467	Verified	chrII	702589	704055	-1
YBR242W	717	Verified	chrII	704670	705386	1
YBR243C	1347	Verified	chrII	705447	706793	-1
YBR244W	489	Verified	chrII	707528	708016	1
YBR245C	3390	Verified	chrII	708150	711539	-1
YBR246W	1164	Verified	chrII	711591	712754	1
YBR247C	1452	Verified	chrII	713004	714455	-1
YBR248C	1659	Verified	chrII	714807	716465	-1
YBR249C	1113	Verified	chrII	716882	717994	-1
YBR250W	1572	Verified	chrII	719033	720604	1
YBR251W	924	Verified	chrII	721390	722313	1
YBR252W	444	Verified	chrII	722611	723054	1
YBR253W	366	Verified	chrII	723270	723635	1
YBR254C	528	Verified	chrII	723736	724263	-1
YBR255W	2085	Verified	chrII	724456	726540	1
YBR256C	717	Verified	chrII	727386	728102	-1
YBR257W	840	Verified	chrII	728885	729724	1
YBR258C	429	Verified	chrII	729734	730162	-1
YBR259W	2067	Verified	chrII	730387	732453	1
YBR260C	2001	Verified	chrII	732639	734639	-1
YBR261C	699	Verified	chrII	734832	735530	-1
YBR262C	321	Verified	chrII	735720	736040	-1
YBR263W	1473	Verified	chrII	736264	737736	1
YBR264C	600	Verified	chrII	737770	738369	-1
YBR265W	963	Verified	chrII	738582	739544	1
YBR266C	453	Verified	chrII	739936	740388	-1
YBR267W	1182	Verified	chrII	739841	741022	1
YBR268W	318	Verified	chrII	741299	741616	1
YBR269C	417	Verified	chrII	742160	742576	-1
YBR270C	1638	Verified	chrII	742761	744398	-1
YBR271W	1260	Verified	chrII	744852	746111	1
YBR272C	1443	Verified	chrII	746361	747803	-1
YBR273C	1311	Verified	chrII	748061	749371	-1
YBR274W	1584	Verified	chrII	749594	751177	1
YBR275C	5751	Verified	chrII	751356	757106	-1
YBR276C	2424	Verified	chrII	757620	760043	-1
YBR277C	402	Dubious	chrII	760215	760616	-1
YBR278W	606	Verified	chrII	760294	760899	1
YBR279W	1338	Verified	chrII	761257	762594	1
YBR280C	1914	Verified	chrII	762784	764697	-1
YBR281C	2637	Verified	chrII	764970	767606	-1
YBR282W	441	Verified	chrII	768240	768680	1
YBR283C	1473	Verified	chrII	768943	770415	-1
YBR284W	2394	Uncharacterized	chrII	771239	773632	1
YBR285W	435	Uncharacterized	chrII	773922	774356	1
YBR286W	1614	Verified	chrII	774700	776313	1
YBR287W	1284	Uncharacterized	chrII	776571	777854	1
YBR288C	1452	Verified	chrII	778012	779463	-1
YBR289W	2718	Verified	chrII	779667	782384	1
YBR290W	966	Verified	chrII	782591	783556	1
YBR291C	900	Verified	chrII	783673	784572	-1
YBR292C	372	Uncharacterized	chrII	784702	785073	-1
YBR293W	1425	Verified	chrII	787006	788430	1
YBR294W	2580	Verified	chrII	789235	791814	1
YBR295W	3651	Verified	chrII	792849	796499	1
YBR296C	1725	Verified	chrII	796798	798522	-1
YBR297W	1407	Verified	chrII	800523	801929	1
YBR298C	1845	Verified	chrII	802631	804475	-1
YBR299W	1755	Verified	chrII	805351	807105	1
YBR300C	498	Dubious	chrII	808600	809097	-1
YBR301W	363	Verified	chrII	809057	809419	1
YBR302C	1140	Verified	chrII	810340	811479	-1
YCL001W	567	Verified	chrIII	111916	112482	1
YCL002C	868	Uncharacterized	chrIII	110808	111675	-1
YCL004W	1566	Verified	chrIII	109105	110670	1
YCL005W	771	Verified	chrIII	108021	108791	1
YCL007C	393	Dubious	chrIII	106974	107366	-1
YCL008C	1158	Verified	chrIII	105696	106853	-1
YCL009C	930	Verified	chrIII	104619	105548	-1
YCL010C	780	Verified	chrIII	103571	104350	-1
YCL011C	1284	Verified	chrIII	102075	103358	-1
YCL014W	4911	Verified	chrIII	96281	101191	1
YCL016C	1143	Verified	chrIII	94621	95763	-1
YCL017C	1494	Verified	chrIII	92777	94270	-1
YCL018W	1095	Verified	chrIII	91324	92418	1
YCL019W	5314	""	chrIII	85102	90415	1
YCL020W	1317	""	chrIII	85102	86418	1
YCL022C	516	Dubious	chrIII	81570	82085	-1
YCL023C	348	Dubious	chrIII	78949	79296	-1
YCL024W	3114	Verified	chrIII	79162	82275	1
YCL025C	1902	Verified	chrIII	76018	77919	-1
YCL027W	1539	Verified	chrIII	71803	73341	1
YCL028W	1218	Verified	chrIII	70150	71367	1
YCL029C	1323	Verified	chrIII	68599	69921	-1
YCL030C	2400	Verified	chrIII	65934	68333	-1
YCL031C	894	Verified	chrIII	64675	65568	-1
YCL032W	1041	Verified	chrIII	63441	64481	1
YCL033C	507	Verified	chrIII	62776	63282	-1
YCL034W	1065	Verified	chrIII	61658	62722	1
YCL035C	333	Verified	chrIII	60841	61173	-1
YCL036W	1701	Verified	chrIII	59026	60726	1
YCL037C	1305	Verified	chrIII	57374	58678	-1
YCL038C	1587	Verified	chrIII	54941	56527	-1
YCL039W	2238	Verified	chrIII	52645	54882	1
YCL040W	1503	Verified	chrIII	50838	52340	1
YCL041C	495	Dubious	chrIII	50133	50627	-1
YCL042W	360	Uncharacterized	chrIII	50584	50943	1
YCL043C	1569	Verified	chrIII	48653	50221	-1
YCL044C	1254	Verified	chrIII	47111	48364	-1
YCL045C	2283	Verified	chrIII	44623	46905	-1
YCL046W	324	Dubious	chrIII	46640	46963	1
YCL047C	777	Verified	chrIII	43661	44437	-1
YCL048W	1392	Verified	chrIII	42165	43556	1
