Gene.secondaryIdentifier	Gene.transcripts.chromosome.primaryIdentifier	Gene.transcripts.UTRs.chromosomeLocation.start	Gene.transcripts.UTRs.chromosomeLocation.end	Gene.chromosomeLocation.strand	Gene.transcripts.UTRs.primaryIdentifier
YAL027W	chrI	95473	95583	1	YAL027W_id001-3prime-utr
YAL028W	chrI	92409	92899	1	YAL028W_id001-5prime-utr
YAL028W	chrI	94487	94529	1	YAL028W_id001-3prime-utr
YAL030W	chrI	87264	87285	1	YAL030W_id001-5prime-utr
YAL030W	chrI	87753	88061	1	YAL030W_id001-3prime-utr
YAL031C	chrI	84587	84748	-1	YAL031C_id001-3prime-utr
YAL031C	chrI	87032	87078	-1	YAL031C_id001-5prime-utr
YAL032C	chrI	83198	83334	-1	YAL032C_id001-3prime-utr
YAL032C	chrI	84475	84590	-1	YAL032C_id001-5prime-utr
YAL033W	chrI	82685	82705	1	YAL033W_id001-5prime-utr
YAL033W	chrI	83228	83397	1	YAL033W_id001-3prime-utr
YAL034C	chrI	80563	80709	-1	YAL034C_id001-3prime-utr
YAL034C	chrI	81952	82602	-1	YAL034C_id001-5prime-utr
YAL034C-B	chrI	79446	79488	-1	YAL034C-B_id001-3prime-utr
YAL034C-B	chrI	79843	79873	-1	YAL034C-B_id001-5prime-utr
YAL034W-A	chrI	79674	79717	1	YAL034W-A_id001-5prime-utr
YAL034W-A	chrI	80588	80744	1	YAL034W-A_id001-3prime-utr
YAL035W	chrI	76365	76426	1	YAL035W_id001-5prime-utr
YAL035W	chrI	79436	79559	1	YAL035W_id001-3prime-utr
YAL036C	chrI	74176	75042	-1	YAL036C_id001-3prime-utr
YAL036C	chrI	76153	76203	-1	YAL036C_id001-5prime-utr
YAL037C-A	chrI	73371	73425	-1	YAL037C-A_id001-3prime-utr
YAL037C-A	chrI	73519	73710	-1	YAL037C-A_id001-5prime-utr
YAL037W	chrI	73453	74019	1	YAL037W_id001-5prime-utr
YAL037W	chrI	74824	76400	1	YAL037W_id001-3prime-utr
YAL038W	chrI	71479	71785	1	YAL038W_id001-5prime-utr
YAL038W	chrI	73289	73450	1	YAL038W_id001-3prime-utr
YAL039C	chrI	68647	68715	-1	YAL039C_id001-3prime-utr
YAL039C	chrI	69526	70088	-1	YAL039C_id001-5prime-utr
YAL040C	chrI	65456	65777	-1	YAL040C_id001-3prime-utr
YAL040C	chrI	67521	67848	-1	YAL040C_id001-5prime-utr
YAL041W	chrI	62808	62839	1	YAL041W_id001-5prime-utr
YAL041W	chrI	65405	65501	1	YAL041W_id001-3prime-utr
YAL042W	chrI	61269	61315	1	YAL042W_id001-5prime-utr
YAL042W	chrI	62564	62680	1	YAL042W_id001-3prime-utr
YAL043C	chrI	58499	58694	-1	YAL043C_id001-3prime-utr
YAL043C	chrI	61053	61068	-1	YAL043C_id001-5prime-utr
YAL044C	chrI	57868	57949	-1	YAL044C_id001-3prime-utr
YAL044C	chrI	58463	58614	-1	YAL044C_id001-5prime-utr
YAL044W-A	chrI	56955	57517	1	YAL044W-A_id001-5prime-utr
YAL044W-A	chrI	57851	57990	1	YAL044W-A_id001-3prime-utr
YAL046C	chrI	56907	57028	-1	YAL046C_id001-3prime-utr
YAL046C	chrI	57386	57544	-1	YAL046C_id001-5prime-utr
YAL047C	chrI	54931	54988	-1	YAL047C_id001-3prime-utr
YAL047C	chrI	56858	56886	-1	YAL047C_id001-5prime-utr
YAL047W-A	chrI	54209	54583	1	YAL047W-A_id001-5prime-utr
YAL047W-A	chrI	54914	55063	1	YAL047W-A_id001-3prime-utr
YAL049C	chrI	51691	51854	-1	YAL049C_id001-3prime-utr
YAL049C	chrI	52596	54082	-1	YAL049C_id001-5prime-utr
YAL053W	chrI	45675	45898	1	YAL053W_id001-5prime-utr
YAL053W	chrI	48251	48312	1	YAL053W_id001-3prime-utr
YAL054C	chrI	42713	42880	-1	YAL054C_id001-3prime-utr
YAL054C	chrI	45023	45073	-1	YAL054C_id001-5prime-utr
YAL055W	chrI	42167	42176	1	YAL055W_id001-5prime-utr
YAL055W	chrI	42720	42884	1	YAL055W_id001-3prime-utr
YAL056W	chrI	39196	39258	1	YAL056W_id001-5prime-utr
YAL056W	chrI	41902	42040	1	YAL056W_id001-3prime-utr
YAL058W	chrI	37405	37463	1	YAL058W_id001-5prime-utr
YAL058W	chrI	38973	39163	1	YAL058W_id001-3prime-utr
YAL059W	chrI	36463	36508	1	YAL059W_id001-5prime-utr
YAL059W	chrI	37148	37344	1	YAL059W_id001-3prime-utr
YAL060W	chrI	34983	35154	1	YAL060W_id001-5prime-utr
YAL060W	chrI	36304	36415	1	YAL060W_id001-3prime-utr
YAL061W	chrI	33359	33447	1	YAL061W_id001-5prime-utr
YAL061W	chrI	34702	35113	1	YAL061W_id001-3prime-utr
YAL062W	chrI	31527	31566	1	YAL062W_id001-5prime-utr
YAL062W	chrI	32941	33039	1	YAL062W_id001-3prime-utr
YAL063C-A	chrI	22051	22394	-1	YAL063C-A_id001-3prime-utr
YAL063C-A	chrI	22686	23617	-1	YAL063C-A_id001-5prime-utr
YAL064W-B	chrI	11313	12045	1	YAL064W-B_id001-5prime-utr
YAL064W-B	chrI	12427	15151	1	YAL064W-B_id001-3prime-utr
YAL066W	chrI	9807	10090	1	YAL066W_id001-5prime-utr
YAL066W	chrI	10400	10460	1	YAL066W_id001-3prime-utr
YAL067C	chrI	7013	7234	-1	YAL067C_id001-3prime-utr
YAL067C	chrI	9017	9049	-1	YAL067C_id001-5prime-utr
YAR002C-A	chrI	153765	154064	-1	YAR002C-A_id001-3prime-utr
YAR002C-A	chrI	154725	154740	-1	YAR002C-A_id001-5prime-utr
YAR002W	chrI	152215	152256	1	YAR002W_id001-5prime-utr
YAR002W	chrI	153877	154114	1	YAR002W_id001-3prime-utr
YAR003W	chrI	154958	155004	1	YAR003W_id001-5prime-utr
YAR003W	chrI	156286	156909	1	YAR003W_id001-3prime-utr
YAR007C	chrI	156681	156753	-1	YAR007C_id001-3prime-utr
YAR007C	chrI	158620	158715	-1	YAR007C_id001-5prime-utr
YAR008W	chrI	158852	158965	1	YAR008W_id001-5prime-utr
YAR008W	chrI	159794	159972	1	YAR008W_id001-3prime-utr
YAR014C	chrI	166565	166741	-1	YAR014C_id001-3prime-utr
YAR014C	chrI	168872	169021	-1	YAR014C_id001-5prime-utr
YAR015W	chrI	169330	169374	1	YAR015W_id001-5prime-utr
YAR015W	chrI	170296	172008	1	YAR015W_id001-3prime-utr
YAR018C	chrI	170180	170395	-1	YAR018C_id001-3prime-utr
YAR018C	chrI	171704	171735	-1	YAR018C_id001-5prime-utr
YAR019C	chrI	172126	172210	-1	YAR019C_id001-3prime-utr
YAR019C	chrI	175136	175168	-1	YAR019C_id001-5prime-utr
YAR023C	chrI	179245	179280	-1	YAR023C_id001-3prime-utr
YAR023C	chrI	179821	180697	-1	YAR023C_id001-5prime-utr
YAR027W	chrI	183671	183769	1	YAR027W_id001-5prime-utr
YAR027W	chrI	184478	184687	1	YAR027W_id001-3prime-utr
YAR028W	chrI	184832	184891	1	YAR028W_id001-5prime-utr
YAR028W	chrI	185597	185977	1	YAR028W_id001-3prime-utr
YAR029W	chrI	185009	186320	1	YAR029W_id001-5prime-utr
YAR029W	chrI	186546	186754	1	YAR029W_id001-3prime-utr
YAR030C	chrI	186033	186511	-1	YAR030C_id001-3prime-utr
YAR030C	chrI	186854	186857	-1	YAR030C_id001-5prime-utr
YAR033W	chrI	188043	188106	1	YAR033W_id001-5prime-utr
YAR033W	chrI	188812	189258	1	YAR033W_id001-3prime-utr
YAR035W	chrI	190156	190192	1	YAR035W_id001-5prime-utr
YAR035W	chrI	192257	192365	1	YAR035W_id001-3prime-utr
YAR042W	chrI	192583	192618	1	YAR042W_id001-5prime-utr
YAR042W	chrI	196186	196349	1	YAR042W_id001-3prime-utr
YAR053W	chrI	208193	208366	1	YAR053W_id001-5prime-utr
YAR053W	chrI	208664	209632	1	YAR053W_id001-3prime-utr
YBL001C	chrII	236907	237152	-1	YBL001C_id001-3prime-utr
YBL001C	chrII	237468	237698	-1	YBL001C_id001-5prime-utr
YBL002W	chrII	235789	236491	1	YBL002W_id001-5prime-utr
YBL002W	chrII	236888	237079	1	YBL002W_id001-3prime-utr
YBL003C	chrII	235221	235393	-1	YBL003C_id001-3prime-utr
YBL003C	chrII	235793	237057	-1	YBL003C_id001-5prime-utr
YBL005W	chrII	217404	217469	1	YBL005W_id001-5prime-utr
YBL005W	chrII	220401	220685	1	YBL005W_id001-3prime-utr
YBL006C	chrII	216405	216586	-1	YBL006C_id001-3prime-utr
YBL006C	chrII	217130	217444	-1	YBL006C_id001-5prime-utr
YBL006W-A	chrII	216559	216710	1	YBL006W-A_id001-5prime-utr
YBL006W-A	chrII	216861	217416	1	YBL006W-A_id001-3prime-utr
YBL007C	chrII	212467	212631	-1	YBL007C_id001-3prime-utr
YBL007C	chrII	216367	216436	-1	YBL007C_id001-5prime-utr
YBL008W	chrII	209530	209652	1	YBL008W_id001-5prime-utr
YBL008W	chrII	212176	212255	1	YBL008W_id001-3prime-utr
YBL009W	chrII	207141	207193	1	YBL009W_id001-5prime-utr
YBL009W	chrII	209225	209372	1	YBL009W_id001-3prime-utr
YBL010C	chrII	205803	206106	-1	YBL010C_id001-3prime-utr
YBL010C	chrII	206950	207017	-1	YBL010C_id001-5prime-utr
YBL011W	chrII	202814	203537	1	YBL011W_id001-5prime-utr
YBL011W	chrII	205818	206022	1	YBL011W_id001-3prime-utr
YBL014C	chrII	198825	199063	-1	YBL014C_id001-3prime-utr
YBL014C	chrII	201749	202236	-1	YBL014C_id001-5prime-utr
YBL015W	chrII	193953	194121	1	YBL015W_id001-5prime-utr
YBL015W	chrII	195703	195980	1	YBL015W_id001-3prime-utr
YBL016W	chrII	192372	192450	1	YBL016W_id001-5prime-utr
YBL016W	chrII	193513	193647	1	YBL016W_id001-3prime-utr
YBL018C	chrII	185253	185997	-1	YBL018C_id001-3prime-utr
YBL018C	chrII	186475	186515	-1	YBL018C_id001-5prime-utr
YBL019W	chrII	184283	184352	1	YBL019W_id001-5prime-utr
YBL019W	chrII	185916	186031	1	YBL019W_id001-3prime-utr
YBL020W	chrII	182285	182400	1	YBL020W_id001-5prime-utr
YBL020W	chrII	184126	184205	1	YBL020W_id001-3prime-utr
YBL021C	chrII	181490	181659	-1	YBL021C_id001-3prime-utr
YBL021C	chrII	182095	182524	-1	YBL021C_id001-5prime-utr
YBL022C	chrII	177798	177873	-1	YBL022C_id001-3prime-utr
YBL022C	chrII	181276	181408	-1	YBL022C_id001-5prime-utr
YBL023C	chrII	174746	174919	-1	YBL023C_id001-3prime-utr
YBL023C	chrII	177527	177643	-1	YBL023C_id001-5prime-utr
YBL024W	chrII	172504	172533	1	YBL024W_id001-5prime-utr
YBL024W	chrII	174589	174868	1	YBL024W_id001-3prime-utr
YBL025W	chrII	171165	171480	1	YBL025W_id001-5prime-utr
YBL025W	chrII	171919	172383	1	YBL025W_id001-3prime-utr
YBL026W	chrII	170581	170622	1	YBL026W_id001-5prime-utr
YBL026W	chrII	171039	171530	1	YBL026W_id001-3prime-utr
YBL027W	chrII	168392	168422	1	YBL027W_id001-5prime-utr
YBL027W	chrII	169377	169839	1	YBL027W_id001-3prime-utr
YBL028C	chrII	167221	167517	-1	YBL028C_id001-3prime-utr
YBL028C	chrII	167839	167885	-1	YBL028C_id001-5prime-utr
YBL029C-A	chrII	164358	164487	-1	YBL029C-A_id001-3prime-utr
YBL029C-A	chrII	164773	166047	-1	YBL029C-A_id001-5prime-utr
YBL030C	chrII	162683	163040	-1	YBL030C_id001-3prime-utr
YBL030C	chrII	163998	164137	-1	YBL030C_id001-5prime-utr
YBL031W	chrII	161665	161698	1	YBL031W_id001-5prime-utr
YBL031W	chrII	162716	162887	1	YBL031W_id001-3prime-utr
YBL032W	chrII	160086	160183	1	YBL032W_id001-5prime-utr
YBL032W	chrII	161330	161542	1	YBL032W_id001-3prime-utr
YBL033C	chrII	158483	158655	-1	YBL033C_id001-3prime-utr
YBL033C	chrII	159694	159721	-1	YBL033C_id001-5prime-utr
YBL035C	chrII	151364	151492	-1	YBL035C_id001-3prime-utr
YBL035C	chrII	153611	153703	-1	YBL035C_id001-5prime-utr
YBL036C	chrII	150310	150446	-1	YBL036C_id001-3prime-utr
YBL036C	chrII	151221	152281	-1	YBL036C_id001-5prime-utr
YBL038W	chrII	146128	146186	1	YBL038W_id001-5prime-utr
YBL038W	chrII	146886	147061	1	YBL038W_id001-3prime-utr
YBL039C	chrII	143726	143988	-1	YBL039C_id001-3prime-utr
YBL039C	chrII	145729	145807	-1	YBL039C_id001-5prime-utr
YBL039C-A	chrII	143808	144947	-1	YBL039C-A_id001-3prime-utr
YBL039C-A	chrII	145032	145725	-1	YBL039C-A_id001-5prime-utr
YBL039W-B	chrII	143099	143392	1	YBL039W-B_id001-5prime-utr
YBL039W-B	chrII	143573	143749	1	YBL039W-B_id001-3prime-utr
YBL040C	chrII	141955	142111	-1	YBL040C_id001-3prime-utr
YBL040C	chrII	142869	143114	-1	YBL040C_id001-5prime-utr
YBL041W	chrII	140938	141246	1	YBL041W_id001-5prime-utr
YBL041W	chrII	141973	142027	1	YBL041W_id001-3prime-utr
YBL042C	chrII	138150	138340	-1	YBL042C_id001-3prime-utr
YBL042C	chrII	140261	140349	-1	YBL042C_id001-5prime-utr
YBL043W	chrII	136495	136687	1	YBL043W_id001-5prime-utr
YBL043W	chrII	137462	137625	1	YBL043W_id001-3prime-utr
YBL045C	chrII	133824	134142	-1	YBL045C_id001-3prime-utr
YBL045C	chrII	135517	135695	-1	YBL045C_id001-5prime-utr
YBL046W	chrII	132406	132423	1	YBL046W_id001-5prime-utr
YBL046W	chrII	133750	133937	1	YBL046W_id001-3prime-utr
YBL047C	chrII	127672	127894	-1	YBL047C_id001-3prime-utr
YBL047C	chrII	132041	132169	-1	YBL047C_id001-5prime-utr
YBL049W	chrII	126606	126827	1	YBL049W_id001-5prime-utr
YBL049W	chrII	127245	127508	1	YBL049W_id001-3prime-utr
YBL050W	chrII	125048	125124	1	YBL050W_id001-5prime-utr
YBL050W	chrII	126120	126230	1	YBL050W_id001-3prime-utr
YBL051C	chrII	122309	122752	-1	YBL051C_id001-3prime-utr
YBL051C	chrII	124760	124832	-1	YBL051C_id001-5prime-utr
YBL052C	chrII	119308	119378	-1	YBL052C_id001-3prime-utr
YBL052C	chrII	121875	122141	-1	YBL052C_id001-5prime-utr
YBL054W	chrII	116976	117588	1	YBL054W_id001-5prime-utr
YBL054W	chrII	119167	119288	1	YBL054W_id001-3prime-utr
YBL055C	chrII	115477	115572	-1	YBL055C_id001-3prime-utr
YBL055C	chrII	116830	117224	-1	YBL055C_id001-5prime-utr
YBL056W	chrII	113041	113761	1	YBL056W_id001-5prime-utr
YBL056W	chrII	115169	115437	1	YBL056W_id001-3prime-utr
YBL057C	chrII	112277	112800	-1	YBL057C_id001-3prime-utr
YBL057C	chrII	113428	113447	-1	YBL057C_id001-5prime-utr
YBL058W	chrII	111409	111436	1	YBL058W_id001-5prime-utr
YBL058W	chrII	112709	112864	1	YBL058W_id001-3prime-utr
YBL059C-A	chrII	108799	110124	-1	YBL059C-A_id001-3prime-utr
YBL059C-A	chrII	110540	110567	-1	YBL059C-A_id001-5prime-utr
YBL060W	chrII	107701	107931	1	YBL060W_id001-5prime-utr
YBL060W	chrII	109996	110033	1	YBL060W_id001-3prime-utr
YBL061C	chrII	105195	105315	-1	YBL061C_id001-3prime-utr
YBL061C	chrII	107407	107514	-1	YBL061C_id001-5prime-utr
YBL064C	chrII	100306	100370	-1	YBL064C_id001-3prime-utr
YBL064C	chrII	101157	101420	-1	YBL064C_id001-5prime-utr
YBL068W	chrII	92356	92413	1	YBL068W_id001-5prime-utr
YBL068W	chrII	93395	93912	1	YBL068W_id001-3prime-utr
YBL068W-A	chrII	90847	91793	1	YBL068W-A_id001-5prime-utr
YBL068W-A	chrII	92031	92111	1	YBL068W-A_id001-3prime-utr
YBL069W	chrII	90631	90740	1	YBL069W_id001-5prime-utr
YBL069W	chrII	92031	92191	1	YBL069W_id001-3prime-utr
YBL071C	chrII	89856	90222	-1	YBL071C_id001-3prime-utr
YBL071C	chrII	90532	90544	-1	YBL071C_id001-5prime-utr
YBL071W-A	chrII	89935	89977	1	YBL071W-A_id001-5prime-utr
YBL071W-A	chrII	90227	90746	1	YBL071W-A_id001-3prime-utr
YBL072C	chrII	88246	88522	-1	YBL072C_id001-3prime-utr
YBL072C	chrII	89126	89467	-1	YBL072C_id001-5prime-utr
YBL074C	chrII	86433	86721	-1	YBL074C_id001-3prime-utr
YBL074C	chrII	87790	87808	-1	YBL074C_id001-5prime-utr
YBL075C	chrII	84418	84498	-1	YBL075C_id001-3prime-utr
YBL075C	chrII	86449	86984	-1	YBL075C_id001-5prime-utr
YBL076C	chrII	80935	81042	-1	YBL076C_id001-3prime-utr
YBL076C	chrII	84262	84307	-1	YBL076C_id001-5prime-utr
YBL078C	chrII	79873	80377	-1	YBL078C_id001-3prime-utr
YBL078C	chrII	80732	80803	-1	YBL078C_id001-5prime-utr
YBL080C	chrII	72946	73069	-1	YBL080C_id001-3prime-utr
YBL080C	chrII	74696	74748	-1	YBL080C_id001-5prime-utr
YBL081W	chrII	71317	71865	1	YBL081W_id001-5prime-utr
YBL081W	chrII	72973	73109	1	YBL081W_id001-3prime-utr
YBL082C	chrII	69715	69750	-1	YBL082C_id001-3prime-utr
YBL082C	chrII	71128	71394	-1	YBL082C_id001-5prime-utr
YBL083C	chrII	69698	69712	-1	YBL083C_id001-3prime-utr
YBL083C	chrII	70139	71093	-1	YBL083C_id001-5prime-utr
YBL085W	chrII	63674	63875	1	YBL085W_id001-5prime-utr
YBL085W	chrII	66819	66938	1	YBL085W_id001-3prime-utr
YBL086C	chrII	61142	61201	-1	YBL086C_id001-3prime-utr
YBL086C	chrII	62603	62726	-1	YBL086C_id001-5prime-utr
YBL087C	chrII	59593	59821	-1	YBL087C_id001-3prime-utr
YBL087C	chrII	60740	60845	-1	YBL087C_id001-5prime-utr
YBL089W	chrII	49510	49573	1	YBL089W_id001-5prime-utr
YBL089W	chrII	50954	51278	1	YBL089W_id001-3prime-utr
YBL090W	chrII	48808	48824	1	YBL090W_id001-5prime-utr
YBL090W	chrII	49359	49634	1	YBL090W_id001-3prime-utr
YBL091C	chrII	47010	47362	-1	YBL091C_id001-3prime-utr
YBL091C	chrII	48629	48636	-1	YBL091C_id001-5prime-utr
YBL091C-A	chrII	46322	46564	-1	YBL091C-A_id001-3prime-utr
YBL091C-A	chrII	47181	47185	-1	YBL091C-A_id001-5prime-utr
YBL092W	chrII	45281	45977	1	YBL092W_id001-5prime-utr
YBL092W	chrII	46371	46514	1	YBL092W_id001-3prime-utr
YBL093C	chrII	43832	44255	-1	YBL093C_id001-3prime-utr
YBL093C	chrII	44919	45023	-1	YBL093C_id001-5prime-utr
YBL095W	chrII	42052	43276	1	YBL095W_id001-5prime-utr
YBL095W	chrII	44090	44207	1	YBL095W_id001-3prime-utr
YBL096C	chrII	43132	43173	-1	YBL096C_id001-3prime-utr
YBL096C	chrII	43483	44042	-1	YBL096C_id001-5prime-utr
YBL099W	chrII	36766	37052	1	YBL099W_id001-5prime-utr
YBL099W	chrII	38691	39100	1	YBL099W_id001-3prime-utr
YBL100W-C	chrII	28372	28426	1	YBL100W-C_id001-5prime-utr
YBL100W-C	chrII	28547	29119	1	YBL100W-C_id001-3prime-utr
YBL101C	chrII	24777	24945	-1	YBL101C_id001-3prime-utr
YBL101C	chrII	28300	28406	-1	YBL101C_id001-5prime-utr
YBL102W	chrII	23879	24097	1	YBL102W_id001-5prime-utr
YBL102W	chrII	24746	24938	1	YBL102W_id001-3prime-utr
YBL103C	chrII	21573	22075	-1	YBL103C_id001-3prime-utr
YBL103C	chrII	23537	23790	-1	YBL103C_id001-5prime-utr
YBL104C	chrII	18076	18176	-1	YBL104C_id001-3prime-utr
YBL104C	chrII	21294	21318	-1	YBL104C_id001-5prime-utr
YBL105C	chrII	14104	14240	-1	YBL105C_id001-3prime-utr
YBL105C	chrII	17697	17965	-1	YBL105C_id001-5prime-utr
YBL107C	chrII	9730	9960	-1	YBL107C_id001-3prime-utr
YBL107C	chrII	10552	10563	-1	YBL107C_id001-5prime-utr
YBR001C	chrII	238710	238940	-1	YBR001C_id001-3prime-utr
YBR001C	chrII	241284	241433	-1	YBR001C_id001-5prime-utr
YBR002C	chrII	241428	241707	-1	YBR002C_id001-3prime-utr
YBR002C	chrII	242569	242593	-1	YBR002C_id001-5prime-utr
YBR003W	chrII	241674	242808	1	YBR003W_id001-5prime-utr
YBR003W	chrII	244231	244353	1	YBR003W_id001-3prime-utr
YBR004C	chrII	244272	244365	-1	YBR004C_id001-3prime-utr
YBR004C	chrII	245668	246715	-1	YBR004C_id001-5prime-utr
YBR005W	chrII	245511	245905	1	YBR005W_id001-5prime-utr
YBR005W	chrII	246548	246698	1	YBR005W_id001-3prime-utr
YBR006W	chrII	246865	247009	1	YBR006W_id001-5prime-utr
YBR006W	chrII	248504	248645	1	YBR006W_id001-3prime-utr
YBR007C	chrII	248623	248805	-1	YBR007C_id001-3prime-utr
YBR007C	chrII	251017	251106	-1	YBR007C_id001-5prime-utr
YBR008C	chrII	252403	252562	-1	YBR008C_id001-3prime-utr
YBR008C	chrII	254210	254936	-1	YBR008C_id001-5prime-utr
YBR009C	chrII	255025	255372	-1	YBR009C_id001-3prime-utr
YBR009C	chrII	255685	256205	-1	YBR009C_id001-5prime-utr
YBR010W	chrII	256303	256330	1	YBR010W_id001-5prime-utr
YBR010W	chrII	256742	257098	1	YBR010W_id001-3prime-utr
YBR011C	chrII	256887	257111	-1	YBR011C_id001-3prime-utr
YBR011C	chrII	257976	258034	-1	YBR011C_id001-5prime-utr
YBR012C	chrII	258941	259146	-1	YBR012C_id001-3prime-utr
YBR012C	chrII	259567	259571	-1	YBR012C_id001-5prime-utr
YBR014C	chrII	266417	266724	-1	YBR014C_id001-3prime-utr
YBR014C	chrII	267337	267432	-1	YBR014C_id001-5prime-utr
YBR015C	chrII	267568	267709	-1	YBR015C_id001-3prime-utr
YBR015C	chrII	269504	270385	-1	YBR015C_id001-5prime-utr
YBR016W	chrII	269749	270246	1	YBR016W_id001-5prime-utr
YBR016W	chrII	270634	270846	1	YBR016W_id001-3prime-utr
YBR017C	chrII	270871	270946	-1	YBR017C_id001-3prime-utr
YBR017C	chrII	273704	274232	-1	YBR017C_id001-5prime-utr
YBR018C	chrII	274272	274426	-1	YBR018C_id001-3prime-utr
YBR018C	chrII	275528	276040	-1	YBR018C_id001-5prime-utr
YBR019C	chrII	275804	276252	-1	YBR019C_id001-3prime-utr
YBR019C	chrII	278353	278388	-1	YBR019C_id001-5prime-utr
YBR020W	chrII	278963	279020	1	YBR020W_id001-5prime-utr
YBR020W	chrII	280608	281395	1	YBR020W_id001-3prime-utr
YBR021W	chrII	279860	281442	1	YBR021W_id001-5prime-utr
YBR021W	chrII	283345	283471	1	YBR021W_id001-3prime-utr
YBR022W	chrII	282222	283737	1	YBR022W_id001-5prime-utr
YBR022W	chrII	284272	284429	1	YBR022W_id001-3prime-utr
YBR023C	chrII	284226	284427	-1	YBR023C_id001-3prime-utr
YBR023C	chrII	287926	288054	-1	YBR023C_id001-5prime-utr
YBR024W	chrII	289336	289444	1	YBR024W_id001-5prime-utr
YBR024W	chrII	290351	291278	1	YBR024W_id001-3prime-utr
YBR025C	chrII	289931	290680	-1	YBR025C_id001-3prime-utr
YBR025C	chrII	291866	291896	-1	YBR025C_id001-5prime-utr
YBR026C	chrII	292409	292876	-1	YBR026C_id001-3prime-utr
YBR026C	chrII	294020	294070	-1	YBR026C_id001-5prime-utr
YBR028C	chrII	294249	294424	-1	YBR028C_id001-3prime-utr
YBR028C	chrII	296003	296196	-1	YBR028C_id001-5prime-utr
YBR029C	chrII	296238	296368	-1	YBR029C_id001-3prime-utr
YBR029C	chrII	297743	298090	-1	YBR029C_id001-5prime-utr
YBR030W	chrII	298020	298291	1	YBR030W_id001-5prime-utr
YBR030W	chrII	299951	300071	1	YBR030W_id001-3prime-utr
YBR031W	chrII	300145	300165	1	YBR031W_id001-5prime-utr
YBR031W	chrII	301255	301451	1	YBR031W_id001-3prime-utr
YBR032W	chrII	301439	301518	1	YBR032W_id001-5prime-utr
YBR032W	chrII	301822	301948	1	YBR032W_id001-3prime-utr
YBR033W	chrII	301820	301943	1	YBR033W_id001-5prime-utr
YBR033W	chrII	304704	304792	1	YBR033W_id001-3prime-utr
